                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3066,                 3.2972,                 3.7944,                0.00747,                0.04092,                 0.0029,                0.00124,                 3.6123,                    inf,                 4.3461,             0.00066158,             0.00066158,             0.00066158
                      1,                 2.6102,                 2.6095,                 2.8463,                0.14913,                0.12076,                0.06713,                0.02514,                 2.6196,                 3.1464,                 2.8061,              0.0013151,              0.0013151,              0.0013151
                      2,                 2.2174,                 2.3265,                 2.4485,                0.30837,                0.20259,                0.17096,                 0.0696,                 2.2919,                 2.7001,                 2.4096,              0.0019554,              0.0019554,              0.0019554
                      3,                 2.0912,                 2.1616,                 2.2763,                0.32247,                0.22156,                0.19522,                0.07464,                 2.2884,                 2.4677,                 2.3774,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.0107,                 2.0495,                 2.1751,                0.39957,                0.26035,                0.26269,                0.11287,                 2.1543,                 2.1484,                 2.2041,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9155,                 1.9018,                 2.0675,                0.47085,                0.32335,                0.34461,                0.14136,                 2.1046,                 2.1462,                 2.1492,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8309,                 1.7939,                 1.9787,                0.56461,                0.35329,                0.39533,                0.17572,                 1.9861,                 1.8934,                 2.0283,               0.001901,               0.001901,               0.001901
                      7,                 1.7675,                 1.6778,                 1.9068,                0.53475,                0.39001,                0.42423,                0.19386,                 1.9497,                 1.7899,                 1.9768,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7395,                 1.6523,                 1.8863,                0.57803,                0.40419,                0.45482,                0.20622,                 1.9554,                 1.7109,                 1.9627,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6981,                 1.5871,                 1.8409,                0.57238,                0.42715,                0.46724,                0.21418,                 1.9017,                 1.6845,                 1.9397,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6424,                 1.5147,                 1.8028,                0.59074,                0.43912,                0.49692,                0.22805,                 1.8516,                 1.6313,                 1.8576,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6208,                 1.4724,                 1.7702,                0.59859,                 0.4491,                0.50196,                0.24731,                 1.8609,                 1.5422,                 1.8726,               0.001802,               0.001802,               0.001802
                     12,                 1.5836,                 1.4078,                 1.7401,                0.65415,                0.47605,                0.55139,                0.27508,                 1.7961,                 1.4661,                 1.8284,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5818,                 1.4053,                 1.7316,                0.63344,                0.48403,                0.55497,                0.27472,                 1.7674,                 1.4908,                 1.7799,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.539,                 1.3483,                 1.6982,                0.68266,                  0.502,                0.57837,                0.27822,                 1.7621,                 1.4635,                 1.7927,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5209,                 1.3087,                 1.6786,                0.71446,                0.48444,                0.57778,                0.29167,                 1.7742,                 1.3909,                 1.7838,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5006,                 1.2606,                 1.6524,                0.73435,                0.49202,                0.60099,                  0.306,                 1.7005,                 1.3467,                 1.7449,               0.001703,               0.001703,               0.001703
                     17,                 1.4814,                 1.2428,                 1.6608,                0.75871,                0.48642,                0.59981,                0.30744,                 1.7179,                 1.3855,                 1.7279,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4708,                 1.2236,                 1.6193,                0.71283,                  0.498,                0.58948,                0.30318,                 1.7489,                 1.3763,                 1.7431,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4491,                 1.1954,                 1.6008,                 0.6919,                0.52894,                0.60391,                0.31224,                 1.7056,                 1.3963,                  1.707,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4296,                 1.1698,                 1.5922,                0.71346,                0.52096,                0.60494,                0.31406,                 1.7311,                 1.3116,                 1.7348,              0.0016238,              0.0016238,              0.0016238
